Page Name,User Name,Facebook Id,Likes at Posting,Created,Type,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Overperforming Score
משרד הבריאות,Health.gov.il,1.48E+14,291962,2020-02-20 19:27:09 EET,Photo,1005,246,495,12,16,5,0,6,0,,0,0,0,N/A,https://www.facebook.com/Health.gov.il/posts/2596134847165077,"שימו לב! הפרת צו בידוד בית עשויה לגרום לאישום פלילי שתוצאתו עד 7 שנות מאסר אם נעשה במזיד ועד 3 שנות מאסר אם נעשה בהתרשלות. החוק מתייחס לכך כאל ״מעשה העלול להפיץ מחלה״ וכן כ""הפרה של הוראה חוקית״. אגף פיקוח ואכיפה במשרד הבריאות החל בפעילות אכיפה של הצו. אנחנו רואים בציבור שנדרש לבידוד בית שותף מלא שלנו למניעת התפרצות המחלה בישראל. גילוי של אחריות כלפי בני המשפחה, החברים וכן כלפי אנשים חולים וחלשים בחברה ישמור על כולנו.",https://www.facebook.com/Health.gov.il/photos/a.543605322418050/2596133737165188/?type=3,,,,,,,2.04
משרד החינוך,edu.gov.il,1.12E+14,273689,2020-02-20 19:48:51 EET,Native Video,13,1,0,0,0,0,0,0,0,original,1213,1213,0,00:01:39,https://www.facebook.com/edu.gov.il/posts/2799788883419216,"מוזמנים לצפות בתלמידים הלומדים גישות ושיטות שונות לפתרון בעיות הנדסיות, רוכשים כלים לניתוח ותכנון מערכות הנדסיות, לבחינת המערכות, הבנת עקרונות פעולתן, איתור תקלות ומתן מענה לסוגיות המתעוררות בתחום ההנדסי, כל זאת בשילוב טכנולוגיה חדשנית. http://bit.ly/2SDDIY0:=:https://students.education.gov.il/studies-general-info/educational-frameworks/academic-majors",https://www.facebook.com/edu.gov.il/videos/460573474606228/,,,לימודי מערכות ייצור ממוחשבות - משרד החינוך,,,,-7.07
משרד הביטחון,MODIsrael,3.84E+14,216251,2020-02-21 08:30:00 EET,Photo,174,2,8,5,0,0,0,0,0,,0,0,0,N/A,https://www.facebook.com/MODIsrael/posts/2798589843513583,"אתמול הסתיים מחזור נוסף של התוכנית להשלמת 12 שנות לימוד במכללת גולדשטיין. הבוגרים המאושרים סיימו קורס שהתחיל 3 חודשים טרום שחרורם, והסתיים בהצלחה חודשיים אחריו. התוכנית - במימון האגף והקרן לחיילים משוחררים, צה""ל ומכללת גולדשטיין - תפתח לבוגרים אפשרויות רבות ללימודי המשך, הכשרות מקצועיות והשתלבות במעגל העבודה באזרחות. האגף והקרן לחיילים משוחררים - משרד הביטחון",https://www.facebook.com/MODIsrael/photos/a.478080698897854/2798588663513701/?type=3,,,,,,,-1.29
משרד הבריאות,Health.gov.il,1.48E+14,292250,2020-02-22 13:12:21 EET,Link,943,1076,1849,2,222,7,88,248,0,,0,0,0,N/A,https://www.facebook.com/Health.gov.il/posts/2599558390156056,"שימו לב! בעקבות עדכון שהתקבל מדרום קוריאה אודות 9 תיירים מקבוצה ששהתה בישראל בין התאריכים 8.2-15.2 ואובחנו כחולים בקורונה לאחר חזרתה, משרד הבריאות מבקש להנחות את הציבור בישראל, להלן: 1. כל מי שהיה במגע הדוק (במרחק של פחות משני מטר ולמשך 15 דקות לפחות) עם חברי הקבוצה בהתאם למועדים והמקומות אשר יפורטו להלן מתבקש להכנס לבידוד בית למשך 14 ימים מאז המגע האחרון עם הקבוצה ולדווח על כך באתר משרד הבריאות: http://bit.ly/MOH-Corona או במוקד כל הבריאות 5400*. כמו כן במידה ומתפתחים סימני מחלה (חום מעל 38, שיעול או תסמינים נשימתיים אחרים), יש לפנות לעזרה רפואית בהתאם להנחיות משרד הבריאות באתר תוך הודעה מראש ועל פי ההנחיות של המשרד: http://bit.ly/MOH-Corona 2. כל מי שהיה במקומות ובזמנים הרלוונטיים שיפורטו להלן אך ללא מגע הדוק, לא נדרש להכנס לבידוד אך מתבקש להיות ערני לגבי סימני מחלה (חום מעל 38, שיעול או תסמינים נשימתיים אחרים). במידה ומתפתחים תסמינים יש לפנות לעזרה רפואית בהתאם להנחיות באתר המשרד. להלן המקומות וזמני החשיפה: 1. 8.2 – לאחר השעה 20:00 מלון מגדל דוד בנתניה ומלון גלרי 2. 9.2 – קיסריה, מלון גבריאל בנצרת, כניסת הבשורה, כניסת המשפחה הקדושה, מלון עין גב. 3. 10.2 – מלון עין גב, מסעדת טנורין, כנסית הבכורה של פטרוס הקדוש, כנסית הלחם והדגים. 4. 11.2 – מלון דיוויד ים המלח 5. 12.2 – מצדה. פארק תמנע. מלון לאונרדו נגב בבאר שבע 6. 13.2 – הפארק הלאומי בבאר שבע, מערת המכפלה בחברון. מלון גרנד קורט בירושלים. 7. 14.2 – הר הזיתים בירושלים – בית פגי, כנסיית העלייה, כנסיית פאטר נוסטר, כנסיית דומינוס פלוויט, כנסית גת שמנים. הר ציון – חדר הסעודה האחרונה, קבר מרים, כנסית - gallicantu 8. 15.2 – מסעדת ג'רוזלם גולד. עין כרם ירושלים - כנסית ג'ון הקדוש, כנסית הביקור, כנסית אן הקדושה, ברכת הצאן (בתסדה), כנסיית הקבר הקדוש, כנסיית anastasis. עם התקדמות החקירה האפידימיולוגית נפרסם רשימת מקומות מפורטת יותר בהן שהתה הקבוצה.",https://bit.ly/MOH-Corona,,,נגיף הקורונה - משרד הבריאות,"נגיף (וירוס) הקורונה בודד כגורם לצבר תחלואה בדלקת ריאות. תסמיני הקורונה דומים לשפעת: חום, שיעול, קוצר נשימה וקשיי נשימה. האבחנה במעבדה בלבד ונכון להיום אין טיפול ספצי....",,,12.89
משרד החינוך,edu.gov.il,1.12E+14,273705,2020-02-22 21:13:53 EET,Status,94,45,109,2,1,0,1,1,0,,0,0,0,N/A,https://www.facebook.com/edu.gov.il/posts/2925215917543178,"משרד החינוך פותח קו פתוח לשיחות עם הורים ותלמידים בנושא הקורונה! המספרים: 1800-25-00-25 או 073-3931122 ‼‼‼‼‼ ✔הקו יאוייש על ידי מומחים להתמודדות במצבי לחץ וחירום מטעם השירות הפסיכולוגי ייעוצי. ✔ הקו ייתן מענה מענה רגשי להתמודדות עם המצב והוא יחל לפעול ממחר (א') בשעה 08:00 ועד לשעה 19:00 ** שימו לב, הקו לא ייתן מענה בנושאים בריאותיים בעניין הקורונה. בעניין זה, יש לפנות למשרד הבריאות.",,,,,,,,1.55
משרד החינוך,edu.gov.il,1.12E+14,273742,2020-02-23 09:10:03 EET,Photo,71,11,33,2,1,0,0,0,0,,0,0,0,N/A,https://www.facebook.com/edu.gov.il/posts/2926226330775470,"הקו הפתוח של משרד החינוך בנושא הקורונה החל לפעול מהשעה 8:00 וכבר נקלטו פניות רבות של הורים. 073-3931111 או 1800-25-00-25 הקו מאויש ע""י אנשי מקצוע של השירות הפסיכולוגי ייעוצי לצורך תמיכה, ליווי וסיוע. הקו לא ייתן מענה בנושאים בריאותיים בעניין הקורונה, בנושא זה יש לפנות למשרד הבריאות. קרדיט צילום: משרד החינוך",https://www.facebook.com/edu.gov.il/photos/a.570361026362024/2926226170775486/?type=3,,,Photos from ‎משרד החינוך‎'s post,,,,-1.14
משרד החינוך,edu.gov.il,1.12E+14,273742,2020-02-23 09:52:15 EET,Photo,111,27,66,0,5,0,3,0,0,,0,0,0,N/A,https://www.facebook.com/edu.gov.il/posts/2926281210769982,"לאחר ביצוע מיפוי של כל מוסדות החינוך שטיילו במקומות שבהם ביקרו התיירים מדרום קוריאה תמונת המצב היא כזו: ▪בבאר שבע: 30 תלמידים מחטיבת הביניים טוביהו, ועוד 4 אנשי חינוך, נחשפו לקבוצה הקוריאנית בגן הלאומי תל שבע, ולפיכך נכנסו לבידוד. ▪בקריית חיים: 60 תלמידים משכבת ט' מחטיבת הביניים דגן, ועוד 5 אנשי חינוך, נחשפו לקבוצה הקוריאנית במצדה, ולפיכך נכנסו לבידוד. ▪בעפולה: 90 תלמידים מאורט אלון, ועוד 10 מורים, נחשפו לקבוצה במצדה. ▪בתל אביב: קבוצת תלמידים אמנם טיילה בקרבת מקום שבו שהו הקוריאנים, אבל לא היו איתם בשום מגע מסכן – ולכן, בהתאם להחלטת משרד הבריאות, לא ישהו בבידוד. נכון לשעה זו, לאף אחד מהם אין תסמינים. אנו בוחנים, בשיתוף כל הגורמים המקצועיים, האם הייתה חשיפה נוספת, לאורך ביקור קבוצת המטיילים בישראל, ואם כן באיזו רמה. אנו פועלים כדי למנוע כל חשיפה אפשרית לנגיף, ונחושים להמשיך ולקיים שגרת לימודים מלאה ותקינה, בכל תרחיש אפשרי. כמו כן הבוקר (א') פתחנו קו חם בנושא הקורונה, עבור מערכת החינוך. הקו החם יפעל עד השעה 19:00, ויאיישו אותו אנשי מקצוע של השירות הפסיכולוגי ייעוצי, לצורכי תמיכה, ליווי וסיוע, במספרים: 1-800-25-0025 או: 073-3931111 (הקו לא ייתן מענה בנושאים בריאותיים בעניין הקורונה. בעניין זה, יש לפנות למשרד הבריאות) http://bit.ly/3a1eCYb:=:https://parents.education.gov.il/prhnet/parents/healthy-lifestyle/korona",https://www.facebook.com/edu.gov.il/photos/a.404700592928069/2926188150779288/?type=3,,,,,,,1.57
משרד החינוך,edu.gov.il,1.12E+14,273742,2020-02-23 13:47:37 EET,Native Video,18,5,15,0,0,0,0,1,0,crosspost,2084,2204,3812,00:00:39,https://www.facebook.com/edu.gov.il/posts/2926595544071882,"הקו הפתוח של משרד החינוך בנושא הקורונה ממשיך לפעול. וכבר נענו 600 פניות של הורים. 073-3931111 או 1800-25-00-25 הקו מאויש ע""י אנשי מקצוע של השירות הפסיכולוגי ייעוצי לצורך תמיכה, ליווי וסיוע. *הקו לא נותן מענה בנושאים בריאותיים בעניין הקורונה, בנושא זה יש לפנות למשרד הבריאות* השירות הפסיכולוגי ייעוצי - שפ""י, משרד החינוך",https://www.facebook.com/edu.gov.il/videos/586929202034088/,,,הקו הפתוח של משרד החינוך בנושא הקורונה ממשיך לפעול,,,,-2.54
משרד הבריאות,Health.gov.il,1.48E+14,293047,2020-02-23 15:29:38 EET,Photo,973,420,513,11,79,8,44,24,0,,0,0,0,N/A,https://www.facebook.com/Health.gov.il/posts/2601734769938418,"עדכון לגבי קבוצת התיירים מדרום קוריאה - שימו לב לפירוט המקומות המדויקים בהם שהו התיירים ולהנחיות: מספר טיסה ke 957, 08.02.20 בשעה 20:20 מיקומים בארץ: 08.02.20 נתניה: מלון מגדל דויד, לינה 09.02.20 נתניה: מלון מגדל דויד, ארוחת בוקר קיסריה: גן לאומי נצרת: מלון גבריאל, ארוחת צהריים נצרת: כנסיית הבשורה, כנסיית המשפחה הקדושה טבריה: עין גב כפר הנופש, ארוחת ערב, לינה 10.02.20 טבריה: עין גב כפר הנופש, ארוחת בוקר, כנסיית הבכורה של פטרוס, כנסיית הלחם והדגים, ארוחת ערב, לינה מגדל: מסעדת תנורין, ארוחת צהריים כפר נחום: סיור כנרת: שייט בספינה 11.02.20 טבריה: עין גב כפר הנופש, ארוחת בוקר שכם יריחו: ביקור ברשות הפלסטינאית, רשות פלסטינאית, מסעדת טנוס בסייד טנוס, ארוחת צהריים ים המלח: מלון דויד ים המלח, ארוחת ערב, לינה 12.02.20 ים המלח: מלון דויד ים המלח, ארוחת בוקר, מצדה, קניון ים המלח פארק תמנע: מנות ארוזות, ארוחת צהריים באר שבע: מלון לאונרדו, ארוחת ערב, לינה 13.02 באר שבע: מלון לאונרדו, ארוחת בוקר, פארק לאומי חברון: מערכת המכפלה בית לחם, מסעדת Nai כל מי שהיה במגע הדוק (במרחק של פחות משני מטר ולמשך 15 דקות לפחות) עם חברי הקבוצה בהתאם למועדים והמקומות אשר יפורטו להלן מתבקש להיכנס לבידוד בית למשך 14 ימים מאז המגע האחרון עם הקבוצה ולדווח על כך באתר משרד הבריאות או במוקד כל הבריאות 5400*. כמו כן במידה ומתפתחים סימני מחלה (חום מעל 38, שיעול או תסמינים נשימתיים אחרים), יש לפנות לעזרה רפואית בהתאם להנחיות משרד הבריאות באתר תוך הודעה מראש ועל פי ההנחיות של המשרד. לפרטים נוספים היכנסו ללינק >> http://bit.ly/3bZev1e",https://www.facebook.com/Health.gov.il/photos/a.210611465717439/2601734626605099/?type=3,,,,,,,2.37
משרד החינוך,edu.gov.il,1.12E+14,273742,2020-02-23 16:36:02 EET,Photo,51,20,17,0,1,0,1,1,0,,0,0,0,N/A,https://www.facebook.com/edu.gov.il/posts/2926899030708200,"בהתאם להנחיית משרד הבריאות החל מהערב (א') לא תצאנה משלחות של תלמידים לפולין, ההחלטה חלה, בשלב זה על המשלחות שאמורות לצאת לפולין החל מהיום ה- 23.2.2020 ועד לתאריך ה- 4.3.2020. מדובר ב- 29 משלחות שכוללות 3,087 תלמידים. בתוך כך, שמונה משלחות שכוללות 687 תלמידים שהיו אמורות לצאת מחר (ב' ) למסע קיבלו הודעה בעניין. המשרד ימשיך לעדכן את ההנחיות בנושא בהתאם להנחיות של משרד הבריאות",https://www.facebook.com/edu.gov.il/photos/a.404700592928069/2926897177375052/?type=3,,,,,,,-1.48
משרד הבריאות,Health.gov.il,1.48E+14,293047,2020-02-23 17:31:55 EET,Photo,289,96,154,3,3,1,2,1,0,,0,0,0,N/A,https://www.facebook.com/Health.gov.il/posts/2601936793251549,"החלטות משרד הבריאות מהיום: 1. כל מי שהיה במגע עם קבוצת המטיילים הצליינית מדרום קוריאה, חייב בבידוד בית עד שיחלפו 14 יום ממועד המגע האחרון עם הקבוצה. 2. אם הייתם בדרום קוריאה או יפן ב-14 ימים האחרונים, חייבים להיות בבידוד בית עד שיחלפו 14 יום מרגע שעזבתם את היעד, זאת בנוסף למי שחזר מסין, הונג קונג, מקאו, סינגפור ותאילנד. 3. מי שהיה בטאיוון, איטליה, אוסטרליה ויתר היעדים שצוינו ב-14 הימים האחרונים ומפתח חום, שיעול וכאב גרון חייב לפנות למוקד 101 של מד""א ולא להגיע לחדר מיון ולא למרפאה בקופת חולים. למידע נוסף - https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/23022020_1.aspx יחד נשמור על בריאות הציבור בישראל",https://www.facebook.com/Health.gov.il/photos/a.210611465717439/2601936436584918/?type=3,,,,,,,-1.59
משרד החינוך,edu.gov.il,1.12E+14,273777,2020-02-24 07:02:51 EET,Photo,17,1,5,0,0,0,0,0,0,,0,0,0,N/A,https://www.facebook.com/edu.gov.il/posts/2928184060579697,"בהתאם להנחיות פיקוד העורף מהלילה, היום (24.2.20) ב', לא יתקיימו לימודים ביישובים הבאים: ▪אשקלון ▪נתיבות ▪שדרות ▪חוף אשקלון ▪מועצה אזורית אשכול ▪מועצה אזורית שדות נגב ▪מועצה אזורית שער הנגב",https://www.facebook.com/edu.gov.il/photos/a.404700592928069/2928178457246924/?type=3,,,,,,,-5.87
משרד החינוך,edu.gov.il,1.12E+14,273777,2020-02-24 13:13:11 EET,Photo,47,4,21,1,0,0,0,0,0,,0,0,0,N/A,https://www.facebook.com/edu.gov.il/posts/2928655957199174,נשארתם בבית בגלל המצב? אנחנו מצרפים פלטפורמה ללמידה מרחוק לתלמידי היסודי. במערכת תמצאו מגוון של תחומי דעת לפי כיתות. bit.ly/RealEmrgencyLearning:=:https://students.education.gov.il/studies-general-info/studies-online/realemergency-learning#?utm_source=Facebook&utm_medium=Banner_realemergencyLearning&utm_campaign=StudentsPortal התלמידים יכולים לגשת לחומרי הלמידה מכל מקום וללמוד בעצמם ובקצב שלהם בכל שעות היממה – בלי תלות במורה. בנוסף שיעורים ON LINE לתלמידי ז' ומעלה תמצאו באתר https://homework.lnet.org.il/,https://www.facebook.com/edu.gov.il/photos/a.404700592928069/2928655070532596/?type=3,,,,,,,-1.85
משרד הבריאות,Health.gov.il,1.48E+14,293617,2020-02-24 13:15:55 EET,Photo,262,118,65,5,2,1,0,3,0,,0,0,0,N/A,https://www.facebook.com/Health.gov.il/posts/2603496196428942,"הצטרפו אלינו לצ'אט לייב עם פרופ' איתמר גרוטו, משנה למנכ""ל במשרד הבריאות, שחזר מיפן ונמצא כרגע בבידוד בביתו. היום, 24.2, בשעה 18:00 בעמוד הפייסבוק שלנו! תייגו ושתפו :)",https://www.facebook.com/Health.gov.il/photos/a.210611465717439/2603493989762496/?type=3,,,,,,,-1.91
משרד הבריאות,Health.gov.il,1.48E+14,293617,2020-02-24 15:51:08 EET,Photo,396,88,364,3,3,3,1,7,0,,0,0,0,N/A,https://www.facebook.com/Health.gov.il/posts/2603750586403503,"בשעות האחרונות מועברת ברשתות הודעת ״פייק ניוז״ שמעתיקה את אתר משרד הבריאות עם הנחיות מטעות לציבור האומרות כי החל מה-24.2.20 על כל תושבי ישראל לחבוש מסיכות בעת יציאה מהבית. הודעה זו שקרית! המשרד העביר את הפרטים שידועים לו למשטרת ישראל. כמו כן פנה שר הבריאות לשר הבטפ ולמפכ""ל המשטרה בנושא. מידע רשמי אפשר למצוא באתר הייעודי של המשרד בנושא קורונה: http://bit.ly/MOH-Corona עדכונים שוטפים גם בערוץ הטלגרם הרשמי בנושא קורונה: https://t.me/MOHreport",https://www.facebook.com/Health.gov.il/photos/a.210611465717439/2603750493070179/?type=3,,,,,,,-1.01
משרד החינוך,edu.gov.il,1.12E+14,273777,2020-02-24 16:15:40 EET,Native Video,43,2,29,1,0,0,5,0,0,original,2961,3217,0,00:01:03,https://www.facebook.com/edu.gov.il/posts/2928391463892290,"הורים יקרים, בימים כאלו, חשוב לתווך לילדים את המידע בצורה ישירה ומדויקת! חשוב לצפות איתם בסרטון ולהסביר שהאזעקה אמנם קצת מלחיצה ומפחידה, אבל אם חושבים על זה רגע היא פה בשבילנו, בשביל להציל לנו את החיים. צוותי החירום של השירות הפסיכולוגי ייעוצי - שפ""י, משרד החינוך וצוותים של פיקוד העורף זמינים לסיוע ולמתן מענה להתנהלות בשעת חירום. מוקד מידע של פיקוד העורף בטלפון 104 או באמצעות הודעת טקסט (sms) לטלפון 052-9104104.",https://www.facebook.com/edu.gov.il/videos/176533593796749/,,,אם נשמעת אזעקה,,,,-1.24
